,name,type_A,type_B,type_C,type_D,address,longitude,latitude
"16995 Yonge St , Newmarket, Ontario",Amco,116.9,,,119.9,"16995 Yonge St, Newmarket, ON L3Y 5Y1, Canada",-79.47697409999999,44.0424914
"1700 Derry Rd E , Mississauga, Ontario",Husky,119.7,123.9,130.9,118.7,"1700 Derry Rd E, Mississauga, ON L5S 1X8, Canada",-79.66869489999999,43.6794181
"1700 King Rd , King Township, Ontario",Shell,118.9,136.9,,118.9,"1700 King Rd, King City, ON L7B, Canada",-79.5076532,43.9343602
"1707 Queen St E , Brampton, Ontario",Pioneer,119.6,129.1,136.6,111.6,"1707 Queen St E, Brampton, ON L6T 2H2, Canada",-79.7182067,43.72303429999999
"1709 Kingston Rd , Pickering, Ontario",Petro-Canada,122.9,135.9,141.9,120.9,"1709 Kingston Rd, Pickering, ON L1V 1C5, Canada",-79.0732376,43.8478407
"1715 Bloor St E , Mississauga, Ontario",Shell,120.7,,,,"1715 Bloor St, Mississauga, ON L4X 1S5, Canada",-79.5876179,43.6236685
"1715 Dundas St W , Toronto - South, Ontario",Dundas Gas Bars,122.9,132.9,142.9,,"1715 Dundas St W, Toronto, ON M6K 1V4, Canada",-79.43850069999999,43.6498413
"1723 Victoria Park Ave , Toronto - East, Ontario",Esso,120.8,132.8,138.8,119.8,"1723 Victoria Park Ave, Scarborough, ON M1R 1S1, Canada",-79.3071255,43.73667529999999
"1725 Eglinton Ave E , Toronto - Central, Ontario",Esso,122.9,,,,"1725 Eglinton Ave W, York, ON M6E 2H4, Canada",-79.44672229999999,43.696151
"1735 Pickering Pkwy , Pickering, Ontario",Canadian Tire,122.9,,136.9,,"1735 Pickering Pkwy, Pickering, ON L1V 7C7, Canada",-79.07042589999999,43.8427024
"1740 Bayly St , Pickering, Ontario",Husky,119.6,130.5,137.5,112.7,"1740 Bayly St, Pickering, ON L1W 3N3, Canada",-79.0653423,43.8339811
"1750 Bloor St W , Toronto - Central, Ontario",Petro-Canada,122.9,135.9,141.9,120.9,"1750 Bloor St W, Toronto, ON M6P 4H6, Canada",-79.4475882,43.6574639
"1755 Albion Rd , Toronto - West, Ontario",Petro-Canada,122.9,,,,"1755 Albion Rd, Etobicoke, ON M9V 1C3, Canada",-79.60685509999999,43.7437505
"17551 Woodbine Ave , East Gwillimbury, Ontario",Esso,,,137.9,123.9,"17551 Woodbine Ave, East Gwillimbury, ON L9N 0L6, Canada",-79.4074189,44.0720165
"176 Front St E , Toronto - South, Ontario",Esso,122.9,135.9,141.9,110.9,"176 Front St E, Toronto, ON M5A 1E6, Canada",-79.36769389999999,43.6506374
"1762 Dundas St W , Toronto - South, Ontario",Ultramar,117.9,,,116.9,"1762 Dundas St W, Toronto, ON M6K 1V6, Canada",-79.44031749999999,43.650461
"1765 Albion Rd , Toronto - West, Ontario",Shell,122.9,136.9,144.9,124.9,"1765 Albion Rd, Etobicoke, ON M9W 5S7, Canada",-79.6081324,43.74378
"1765 Lakeshore Rd W , Mississauga, Ontario",Esso,120.9,,,,"1765 Lakeshore Rd W, Mississauga, ON L5J 2V8, Canada",-79.6237137,43.5170979
"17740 Yonge St , Newmarket, Ontario",Canadian Tire,118.9,,,118.6,"17740 Yonge St, Newmarket, ON L3Y 8P4, Canada",-79.4828977,44.0595307
"1780 O'Connor Dr , Toronto - Central, Ontario",Canadian Tire,119.6,129.1,134.1,116.9,"1780 O'Connor Dr, North York, ON M4A 1W7, Canada",-79.3048122,43.7196077
"1795 Steeles Ave E , Brampton, Ontario",Canadian Tire,119.7,127.9,134.7,114.9,"1795 Steeles Ave E, Brampton, ON L6T 4L5, Canada",-79.68932370000002,43.7052199
"1799 Liverpool Rd , Pickering, Ontario",Esso,122.9,135.9,141.9,118.9,"1799 Liverpool Rd, Pickering, ON L1V 1W2, Canada",-79.0890648,43.8338933
"1800 Bayview Ave , Toronto - Central, Ontario",Shell,122.9,,,,"Bayview Ave, Toronto, ON, Canada",-79.35656329999999,43.6632608
"1800 Brock Rd , Pickering, Ontario",Petro-Canada,122.9,,141.9,120.9,"1800 Brock Rd, Pickering, ON L1V 4G2, Canada",-79.072724,43.8431456
"1805 Victoria Park Ave , Toronto - East, Ontario",Shell,122.9,136.9,144.9,,"1805 Victoria Park Ave, Scarborough, ON M1R 1T3, Canada",-79.3096066,43.7425422
"18080 Yonge St , Newmarket, Ontario",Husky,117.9,126.9,133.9,,"18080 Yonge St, Newmarket, ON L3Y 8V1, Canada",-79.48424659999999,44.0681374
"18182 Yonge St , East Gwillimbury, Ontario",Costco,113.9,,125.9,,"18182 Yonge St, East Gwillimbury, ON L9N 0J3, Canada",-79.48942930000001,44.07118980000001
"18215 Yonge St , East Gwillimbury, Ontario",Petro-Canada,117.9,131.9,137.9,120.9,"18215 Yonge St, East Gwillimbury, ON L9N 0H9, Canada",-79.4840108,44.0726535
"18233 Leslie St , East Gwillimbury, Ontario",Shell,,,,118.9,"18233 Leslie St, Newmarket, ON L3Y 9A5, Canada",-79.4363601,44.08349380000001
"18263 Yonge St , East Gwillimbury, Ontario",Shell,117.6,129.9,137.9,118.6,"18263 Yonge St, East Gwillimbury, ON L9N 0J1, Canada",-79.4844978,44.073294
"18273 Leslie St , East Gwillimbury, Ontario",Esso,,,,118.9,"18273 Leslie St, Sharon, ON L0G 1V0, Canada",-79.4362063,44.0846914
"1840 Bayview Ave , Toronto - Central, Ontario",Esso,122.9,,,,"Bayview Ave, Toronto, ON, Canada",-79.35656329999999,43.6632608
"1860 Ellesmere Rd , Toronto - East, Ontario",Petro-Canada,,134.9,,,"1860 Ellesmere Rd, Scarborough, ON M1H 2V5, Canada",-79.24289499999999,43.7741331
"1865 Avenue Rd , Toronto - Central, Ontario",Esso,122.9,,,,"Avenue Rd, Toronto, ON, Canada",-79.3986264,43.6797334
"1867 Major Mackenzie Dr , Vaughan, Ontario",Petro-Canada,120.5,134.9,140.9,120.9,"1867 Major MacKenzie Dr W, Maple, ON L6A 0P5, Canada",-79.49924089999999,43.8579595
"1869 Leslie St , Toronto - Central, Ontario",Esso,122.9,135.9,141.9,,"Leslie St, Toronto, ON, Canada",-79.3295941,43.661829
"1890 Jane St , Toronto - Central, Ontario",Esso,122.9,,,119.9,"1890 Jane St, York, ON M9N 2T5, Canada",-79.50595899999999,43.709503
"1896 Eglinton Ave E , Toronto - East, Ontario",Petro-Canada,122.9,135.9,141.9,,"1896 Eglinton Ave E, Scarborough, ON M1L 2L9, Canada",-79.2968635,43.7263483
"197 Bellamy Rd N , Toronto - East, Ontario",Esso,115.9,126.9,132.9,114.9,"197 Bellamy Rd N, Scarborough, ON M1J 2L3, Canada",-79.2304686,43.7462881
"1974 Avenue Rd , Toronto - Central, Ontario",Shell,122.9,,,,"1974 Avenue Rd, Toronto, ON M4V, Canada",-79.4009739,43.6850142
"1977 Kennedy Rd , Toronto - East, Ontario",Petro-Canada,122.9,,,,"1977 Kennedy Rd, Scarborough, ON M1P 2M1, Canada",-79.282128,43.769821
"198 Browns Line , Toronto - West, Ontario",Pioneer,117.9,134.9,142.9,118.6,"198 Brown's Line, Etobicoke, ON M8W 3T3, Canada",-79.54353449999999,43.5972405
"1990 Hallstone Rd , Brampton, Ontario",Petro-Canada,122.9,136.9,142.9,118.9,"1990 Hallstone Rd, Brampton, ON L6Y 0L7, Canada",-79.7676023,43.6218869
"1990 Steeles Ave W , Brampton, Ontario",Esso,122.9,136.9,142.9,118.9,"1990 Steeles Ave W, Brampton, ON L6Y 0R4, Canada",-79.7759232,43.6281873
"2 East Mall Cr , Toronto - West, Ontario",Petro-Canada,122.9,,,,"2 The East Mall Crescent, Etobicoke, ON M9B 3Y6, Canada",-79.55018799999999,43.630685
"2 Oakdale Rd , Toronto - North, Ontario",Jiffy,121.9,,,119.3,"2 Oakdale Rd, North York, ON M3N, Canada",-79.5238116,43.7370459
"2 Salem Rd S , Ajax, Ontario",Petro-Canada,113.6,124.9,132.9,120.9,"2 Salem Rd S, Ajax, ON L1S 7T7, Canada",-79.0165536,43.8628559
"2 Upton Rd , Toronto - East, Ontario",Esso,121.9,127.9,136.9,118.9,"2 Upton Rd, Scarborough, ON M1L 2B8, Canada",-79.28361869999999,43.7182428
"2 Vaughan Valley Blvd , Vaughan, Ontario",Shell,122.9,135.9,,118.9,"2 Vaughan Valley Blvd, Vaughan, ON l4k 3c4, Canada",-79.6263638,43.772427
"2 Westney Rd S , Ajax, Ontario",Shell,122.9,126.9,134.9,,"2 Westney Rd S, Ajax, ON L1S 5L7, Canada",-79.0422461,43.8570505
"20 Bristol Rd W , Mississauga, Ontario",Petro-Canada,117.9,130.9,136.9,120.9,"20 Bristol Rd W, Mississauga, ON L5R 3K3, Canada",-79.66360829999999,43.61373589999999
"20 Ellesmere Rd , Toronto - East, Ontario",Petro-Canada,122.9,,,,"20 Ellesmere Rd, Scarborough, ON M1R 4C1, Canada",-79.3147352,43.7583265
"200 Sandalwood Pkwy E , Brampton, Ontario",Petro-Canada,118.5,131.9,137.9,,"200 Sandalwood Pkwy E, Brampton, ON L6Z 1Y5, Canada",-79.79401589999999,43.7280297
"2001 North Park Dr , Brampton, Ontario",Shell,119.6,132.9,140.9,,"2001 N Park Dr, Brampton, ON L6S 5Z9, Canada",-79.7266849,43.74855549999999
"201 Taunton Rd W , Ajax, Ontario",Petro-Canada,122.9,129.9,139.9,118.9,"201 Taunton Rd W, Ajax, ON L1T 4W9, Canada",-79.0510145,43.8925916
"2010 Dundas St W , Toronto - South, Ontario",Shell,117.9,129.9,136.9,122.9,"2010 Dundas St W, Toronto, ON M6R 1W6, Canada",-79.4462271,43.6519243
"2012 Jane St , Toronto - Central, Ontario",Petro-Canada,122.9,,,,"123 Queen St W, Toronto, ON M5H 3M9, Canada",-79.3842596,43.6511726
"2025 Kipling Ave , Toronto - West, Ontario",Canadian Tire,120.9,,,,"2025 Kipling Ave, Etobicoke, ON M9W 4J8, Canada",-79.56606579999999,43.7125981
"2044 Kipling Ave , Toronto - West, Ontario",Pioneer,120.7,,,118.4,"2044 Kipling Ave, Etobicoke, ON M9W, Canada",-79.5676788,43.7138015
"2067 Rutherford Rd , Vaughan, Ontario",7-Eleven,119.3,124.9,131.9,,"2067 Rutherford Rd, Concord, ON L4K 5T6, Canada",-79.50261700000001,43.837777
"21 Innovation Dr , Vaughan, Ontario",Petro-Canada,,131.9,137.9,119.9,"21 Innovation Dr, Vaughan, ON L0J, Canada",-79.6259335,43.7879827
"2100 Burnhamthorpe Rd W , Mississauga, Ontario",Petro-Canada,118.9,132.9,138.9,,"2100 Burnhamthorpe Rd W, Mississauga, ON L5L 3N1, Canada",-79.6823548,43.5465124
"211 Bayly St E , Ajax, Ontario",Esso,113.6,128.9,138.9,119.9,"211 Bayly St E, Ajax, ON L1S 7T6, Canada",-79.0067124,43.8465598
"2125 Dundas St W , Mississauga, Ontario",Petro-Canada,120.7,133.9,139.9,120.9,"2125 Dundas St W, Mississauga, ON L5K 2E2, Canada",-79.6683268,43.5355429
"2125 Sheppard Ave E , Toronto - North, Ontario",Petro-Canada,122.9,134.9,140.9,122.9,"2125 Sheppard Ave E, North York, ON M2J 4X5, Canada",-79.3325862,43.7752741
"2145 Dundas St W , Toronto - South, Ontario",Lambert's Pump,116.9,123.9,132.9,125.9,"2145 Dundas St W, Toronto, ON M6R 1X2, Canada",-79.4498869,43.6526892
"2163 Dundas St E , Mississauga, Ontario",Shell,116.9,129.9,137.9,118.9,"2163 Dundas St E, Mississauga, ON L4X 1M3, Canada",-79.56706419999999,43.6257724
"2165 Erin Mills Pkwy , Mississauga, Ontario",Shell,118.9,128.9,136.9,,"2165 Erin Mills Pkwy, Mississauga, ON L5K 1T7, Canada",-79.6516405,43.52763239999999
"2182 Queen St E , Brampton, Ontario",Husky,119.6,129.9,136.9,,"2182 Queen St E, Brampton, ON L6S 4G9, Canada",-79.7131825,43.7284364
"2185 Leanne Blvd , Mississauga, Ontario",Esso,118.9,128.9,134.9,119.9,"2185 Leanne Blvd, Mississauga, ON L5K 2L6, Canada",-79.65261020000001,43.52695000000001
"2189 Lake Shore Blvd W , Toronto - West, Ontario",Esso,122.9,135.9,141.9,,"2189 Lake Shore Blvd W, Etobicoke, ON M8V 1A1, Canada",-79.4805607,43.6231352
"22 Bridge St , Bradford West Gwillimbury, Ontario",Pioneer,,,,118.3,"22 Bridge St, Bradford, ON L3Z 3H2, Canada",-79.55659709999999,44.1157864
"2200 Credit Valley Rd , Mississauga, Ontario",Petro-Canada,118.9,132.9,138.9,,"2200 Credit Valley Rd, Mississauga, ON L5M 3C9, Canada",-79.7011924,43.5566887
"2200 Steeles Ave W , Toronto - North, Ontario",Husky,121.9,,,113.7,"2200 Steeles Ave W, Concord, ON L4K 2Y7, Canada",-79.49397809999999,43.78209589999999
"2205 Jane St , Toronto - North, Ontario",Petro-Canada,122.9,136.9,142.9,117.9,"2205 Jane St, North York, ON M3M 1A5, Canada",-79.5084996,43.7226988
"2210 Stouffville Rd , Whitchurch-Stouffville, Ontario",Husky,121.6,,,,"2210 Stouffville Rd, Whitchurch-Stouffville, ON L0H, Canada",-79.3800416,43.94261729999999
"225 Salem Rd S , Ajax, Ontario",Petro-Canada,122.9,126.9,132.9,120.9,"225 Salem Rd S, Ajax, ON L1Z 0B1, Canada",-79.0084832,43.8531418
"2250 Hwy 7 , Pickering, Ontario",Esso,,,,121.9,"2250 ON-7, Greenwood, ON L0H 1H0, Canada",-79.0780947,43.9261661
"2250 Victoria Park Ave , Toronto - East, Ontario",Petro-Canada,122.9,135.9,141.9,,"2250 Victoria Park Ave, North York, ON M1R, Canada",-79.31813319999999,43.76323860000001
"2265 Danforth Ave , Toronto - Central, Ontario",Petro-Canada,122.9,132.9,138.9,,"2265 Danforth Ave, Toronto, ON M4C 1K1, Canada",-79.3123632,43.6857948
"2267 Lakeshore Rd W , Oakville, Ontario",7-Eleven,,127.6,134.6,,"2267 Lakeshore Rd W, Oakville, ON L6L 1H1, Canada",-79.7069015,43.3993703
"2268 Rutherford Rd  , Vaughan, Ontario",Ultramar,119.4,133.6,134.8,116.9,"2268 Rutherford Rd, Concord, ON L4K 2N8, Canada",-79.5087052,43.8366961
"2285 Benedet Dr , Mississauga, Ontario",Petro Split Serve,118.9,124.9,131.9,119.9,"2285 Benedet Dr, Mississauga, ON L5J 4J8, Canada",-79.6553599,43.5163294
"2291 Islington Ave , Toronto - West, Ontario",Esso,122.9,,,,"2291 Islington Ave, Etobicoke, ON M9W, Canada",-79.55511419999999,43.715929
"230 Lloyd Manor Rd , Toronto - West, Ontario",Shell,122.9,,,119.9,"230 Lloyd Manor Rd, Etobicoke, ON M9B 5K7, Canada",-79.55783579999999,43.6752322
"230 Wanless Dr , Brampton, Ontario",Mac's,116.2,134.2,141.2,114.9,"230 Wanless Dr, Brampton, ON L7A 3K4, Canada",-79.8155221,43.7256685
"2300 Royal Windsor Dr , Oakville, Ontario",Petro-Canada,122.9,,,,"2300 Royal Windsor Dr, Oakville, ON L6J 7Y1, Canada",-79.65205979999999,43.489626
"2314 Kingston Rd , Toronto - East, Ontario",Jim's Gas,119.9,,136.9,118.9,"2314 Kingston Rd, Scarborough, ON M1N 1T9, Canada",-79.25173819999999,43.7062659
"2316 Finch Ave W , Toronto - North, Ontario",Ultramar,120.9,,,,"2316 Finch Ave W, Toronto, ON M9M, Canada",-79.5421313,43.7524536
"2317 St Clair Ave W , Toronto - Central, Ontario",Pioneer,116.4,124.0,131.5,117.9,"2317 St Clair Ave W, Toronto, ON M6E 1B8, Canada",-79.447873,43.6766696
"2320 Lawrence Ave E , Toronto - East, Ontario",Petro-Canada,122.9,,,,"2320 Lawrence Ave E, Scarborough, ON M1P 2P9, Canada",-79.2755504,43.7498229
"2329 Stouffville Rd , Whitchurch-Stouffville, Ontario",Petro-Canada,121.6,,,,"2329 Stouffville Rd, Gormley, ON L0H 1G0, Canada",-79.3786977,43.9416068
"2330 Battleford Rd , Mississauga, Ontario",7-Eleven,117.6,,,,"2330 Battleford Rd, Mississauga, ON L5N 3K6, Canada",-79.740741,43.585512
"2370 Lawrence Ave E , Toronto - East, Ontario",Esso,122.9,125.9,131.5,,"2370 Lawrence Ave E, Scarborough, ON M1P 2R5, Canada",-79.2744306,43.7500477
"2372 Eglinton Ave E , Toronto - East, Ontario",Eagle,117.9,126.9,135.9,,"2372 Eglinton Ave E, Scarborough, ON M1K 2P3, Canada",-79.271141,43.7318851
"2383 Dundas St W , Oakville, Ontario",Econo,118.9,128.9,133.9,117.9,"2383 Dundas St W, Oakville, ON L6M 4J3, Canada",-79.77232769999999,43.44014990000001
"241 Church St , Toronto - South, Ontario",Esso,122.9,135.9,141.9,,"241 Church St, Toronto, ON M5B 1Z4, Canada",-79.3768546,43.6567305
"2424 Eglinton Ave E , Toronto - East, Ontario",Shell,122.9,,,,"2424 Eglinton Ave E, Toronto, ON M1K 2P3, Canada",-79.2685297,43.732508
"2435 Finch Ave W , Toronto - North, Ontario",Shell,122.9,,,,"2435 Finch Ave W, North York, ON M9M 2E6, Canada",-79.54930490000001,43.7503022
"2439 Steeles Ave E , Brampton, Ontario",Circle K,119.7,131.7,138.7,111.9,"2439 Steeles Ave E, Brampton, ON L6T 5J9, Canada",-79.67996610000002,43.7135032
"2460 St Clair Ave W , Toronto - Central, Ontario",Petro-Canada,122.9,,,,"2460 St Clair Ave W, Toronto, ON M6E 1C1, Canada",-79.4481338,43.6770561
"2485 Bloor St W , Toronto - Central, Ontario",Esso,122.9,135.9,141.9,,"2485 Bloor St W, Toronto, ON M6P 3L4, Canada",-79.4477466,43.6571596
"2495 Kingston Rd  , Toronto - East, Ontario",Mid King,119.7,,136.7,,"2495 Kingston Rd, Scarborough, ON M1N 1V4, Canada",-79.2482297,43.7104411
"2498 Gerrard St E , Toronto - East, Ontario",Shell,122.9,135.9,142.9,118.9,"2498 Gerrard St E, Toronto, ON M1N, Canada",-79.2838548,43.6880225
"25 Photography Dr , Toronto - West, Ontario",No Frills,116.4,123.4,130.4,117.9,"25 Photography Dr, North York, ON M6M 0A1, Canada",-79.4839293,43.686812
"250 Mulock Dr , Newmarket, Ontario",Petro-Canada,120.3,,,,"250 Mulock Dr, Newmarket, ON L3Y 9B8, Canada",-79.4645123,44.0385384
"250 The Queensway , Toronto - West, Ontario",Esso,122.9,134.9,140.9,119.9,"250 The Queensway, Etobicoke, ON M8Y 1J4, Canada",-79.4873214,43.6299563
"2500 Don Mills Rd , Toronto - North, Ontario",Esso,122.9,,,,"2500 Don Mills Rd, North York, ON M2J 3B3, Canada",-79.3478394,43.7754422
"2500 Sheppard Ave E , Toronto - East, Ontario",Petro-Canada,122.9,,,,"2500 Sheppard Ave E, North York, ON M2J, Canada",-79.3246135,43.7748824
"2520 Britannia Rd W , Mississauga, Ontario",Esso,117.9,130.9,136.9,,"2520 Britannia Rd W, Mississauga, ON L5M 5X7, Canada",-79.73317709999999,43.5777971
"2525 Thomas St , Mississauga, Ontario",Shell,119.9,,,,"2525 Thomas St, Mississauga, ON L5M 5J3, Canada",-79.7236171,43.5698127
"253 Kennedy Rd S , Brampton, Ontario",Husky,122.3,133.9,139.9,117.7,"253 Kennedy Rd S, Brampton, ON L6W 3H1, Canada",-79.72813599999999,43.679167
"2549 Weston Rd , Toronto - Central, Ontario",Superstore,122.6,130.6,137.6,116.6,"2549 Weston Rd, Toronto, ON M9N 2A7, Canada",-79.5338021,43.71021040000001
"255 E Beaver Creek Rd , Richmond Hill, Ontario",Esso,122.9,135.9,141.9,118.9,"255 East Beaver Creek Rd, Richmond Hill, ON L4B 1M7, Canada",-79.37854,43.84569399999999
"2580 St Clair Ave W , Toronto - Central, Ontario",Race Trac,116.9,,,,"2580 St Clair Ave W, Toronto, ON M6E 1C1, Canada",-79.4481338,43.6770561
"26 Queen St N , Mississauga, Ontario",Petro-Canada,121.9,,141.9,,"26 Queen St N, Mississauga, ON L5N 1A1, Canada",-79.7239603,43.5887772
"260 Vaughan Rd , Toronto - Central, Ontario",Econo Gas Station,116.9,,,,"260 Vaughan Rd, Toronto, ON M6C, Canada",-79.42603609999999,43.6884187
"2601 Eglinton Ave E , Toronto - East, Ontario",Canadian Tire,117.9,132.9,137.9,116.9,"2601 Eglinton Ave E, Scarborough, ON M1K 2S1, Canada",-79.253496,43.73525
"261 Dixon Rd  , Toronto - West, Ontario",Esso,122.9,134.9,144.9,,"261 Dixon Rd, Etobicoke, ON M9P 2M4, Canada",-79.54607360000001,43.69684729999999
"2610 Eglinton Ave E , Toronto - East, Ontario",Ultramar,117.9,129.9,132.9,116.9,"2610 Eglinton Ave E, Scarborough, ON M1K, Canada",-79.25204719999999,43.7358637
"2611 Lawrence Ave E , Toronto - East, Ontario",Esso,122.9,134.9,140.9,,"2611 Lawrence Ave E, Scarborough, ON M1P 2S2, Canada",-79.2645201,43.7512886
"2645 Fifth Line W , Mississauga, Ontario",Petro-Canada,120.7,133.9,139.9,,"2645 Fifth Line W, Mississauga, ON L5K 1V9, Canada",-79.6669903,43.535667
"2645 Steeles Ave E , Brampton, Ontario",Esso,120.9,133.9,139.9,,"2645 Steeles Ave E, Brampton, ON L6T, Canada",-79.6683496,43.72377789999999
"2645 Steeles Ave W  , Toronto - North, Ontario",Husky,121.9,,,,"2645 Steeles Ave W, North York, ON M3J 2S4, Canada",-79.48647,43.78316299999999
"2650 Rutherford Rd , Vaughan, Ontario",Shell,119.9,133.9,141.9,119.9,"2650 Rutherford Rd, Vaughan, ON L4K 2N9, Canada",-79.5217164,43.8339862
"2651 Rutherford Rd , Vaughan, Ontario",Petro-Canada,119.9,130.9,136.9,120.9,"2651 Rutherford Rd, Vaughan, ON L4K, Canada",-79.5229451,43.8327009
"2660 Major Mackenzie Dr W , Vaughan, Ontario",Mac's,120.5,132.5,139.5,117.9,"2660 Major MacKenzie Dr W, Maple, ON L6A 1C1, Canada",-79.52677210000002,43.8523432
"2669 Jane St , Toronto - North, Ontario",Esso,121.9,134.9,140.9,,"2669 Jane St, North York, ON M3L 1S3, Canada",-79.512,43.7400209
"2688 Dundas St W , Mississauga, Ontario",Esso,118.9,130.7,136.7,114.9,"2688 Dundas St W, Mississauga, ON L5K 1S1, Canada",-79.6809719,43.5227188
"2695 Credit Valley Rd , Mississauga, Ontario",Shell,118.9,131.9,139.9,,"2695 Credit Valley Rd, Mississauga, ON L5M 4S1, Canada",-79.714411,43.5472988
"2699 Keele St , Toronto - North, Ontario",Canadian Tire,122.9,,137.9,119.8,"2699 Keele St, North York, ON M3M 2E9, Canada",-79.48172749999999,43.7256003
"274 Steeles Ave E , Toronto - North, Ontario",Petro-Canada,122.9,135.9,141.9,119.9,"274 Steeles Ave E, Thornhill, ON L3T 1A7, Canada",-79.3957812,43.8037658
"2747 Keele St , Toronto - North, Ontario",Petro-Canada,122.9,135.9,141.9,120.9,"2747 Keele St, North York, ON M3M 2E9, Canada",-79.4815509,43.7263576
"2757 Hwy 7 W , Vaughan, Ontario",Husky,119.8,,,112.7,"2757 Hwy 7, Vaughan, ON L4K, Canada",-79.5159419,43.7957235
"278 Old Kingston Rd , Toronto - East, Ontario",Tru Value,113.9,,125.9,,"278 Old Kingston Rd, Scarborough, ON M1C 1B5, Canada",-79.1723212,43.7826538
"2799 Lake Shore Blvd W , Toronto - West, Ontario",Shell,122.9,137.9,145.9,,"2799 Lake Shore Blvd W, Etobicoke, ON M8V 1H4, Canada",-79.5006317,43.6016099
"280 Scarlett Rd , Toronto - West, Ontario",Esso,122.9,,,,"280 Scarlett Rd, Etobicoke, ON M9A 4S4, Canada",-79.50936709999999,43.6808532
"2800 Kennedy Rd , Toronto - East, Ontario",Petro-Canada,122.9,134.9,140.9,121.9,"2800 Kennedy Rd, Scarborough, ON M1T 3J2, Canada",-79.2967389,43.800817
"2801 Elgin Mills Rd E , Markham, Ontario",Esso,122.9,135.9,141.9,118.9,"2801 Elgin Mills Rd E, Markham, ON L6C 1K8, Canada",-79.3783523,43.9020822
"2805 Eglinton Ave W , Mississauga, Ontario",Loblaws,118.6,127.6,134.6,114.6,"1326 Eglinton Ave W, Mississauga, ON L5M 6J3, Canada",-79.7128844,43.5537908
"281 Richvale Dr S , Brampton, Ontario",Esso,116.5,129.9,135.9,119.9,"281 Richvale Dr S, Brampton, ON L6Z 4W5, Canada",-79.7729736,43.7197105
"2810 Markham Rd , Toronto - East, Ontario",Amco,119.6,131.9,136.9,117.6,"2810 Markham Rd, Scarborough, ON M1X, Canada",-79.247795,43.8229452
"2821 Weston Rd , Toronto - North, Ontario",Petro-Canada,122.9,,,,"2821 Weston Rd, North York, ON M9M 2R8, Canada",-79.53749599999999,43.720106
"2830 16th Ave , Markham, Ontario",Petro-Canada,122.9,135.9,141.9,118.9,"2830 16th Ave, Markham, ON L3R 0K8, Canada",-79.369674,43.8670651
"2831 Bayview Ave , Toronto - North, Ontario",Shell,122.9,134.4,140.4,119.9,"2831 Bayview Ave, North York, ON M2K 1E5, Canada",-79.3875585,43.7662391
"285 Lawson Rd , Toronto - East, Ontario",Amco,116.9,,133.9,,"285 Lawson Rd, Scarborough, ON M1C 2J6, Canada",-79.1515541,43.7870445
"2863 Dufferin St , Toronto - Central, Ontario",Petro-Canada,122.9,134.9,140.9,,"2863 Dufferin St, York, ON M6E 3R9, Canada",-79.4477795,43.690298
"2875 Eglinton Ave E , Toronto - East, Ontario",Esso,117.9,126.6,132.6,115.9,"2875 Eglinton Ave E, Scarborough, ON M1J, Canada",-79.24045939999999,43.7383827
"288 Rexdale Blvd , Toronto - West, Ontario",Petro-Canada,120.3,,,,"288 Rexdale Blvd, Etobicoke, ON M9W 1R6, Canada",-79.5818685,43.7143985
"2881 Keele St , Toronto - North, Ontario",Pioneer,121.4,130.9,138.4,115.6,"2881 Keele St, North York, ON M3M 2G9, Canada",-79.48337339999999,43.7334443
"2881 Major Mackenzie Dr E , Markham, Ontario",Shell,122.9,136.9,144.9,118.9,"2881 Major Mackenzie Dr E, Markham, ON L6C, Canada",-79.3723736,43.8843851
"290 Rossland Rd E , Ajax, Ontario",Esso,,126.9,132.9,118.9,"290 Rossland Rd E, Ajax, ON L1Z 0K4, Canada",-79.019485,43.8821302
"2900 Finch Ave E , Toronto - East, Ontario",Petro-Canada,122.9,134.9,140.9,119.9,"2900 Finch Ave E, Scarborough, ON M1W 2T4, Canada",-79.3309,43.793777
"2900 Steeles Ave E , Toronto - North, Ontario",Esso,122.9,135.9,141.9,,"2900 Steeles Ave E, Thornhill, ON L3T 4X1, Canada",-79.3583158,43.8126877
"2908 Yonge St , Toronto - Central, Ontario",Petro-Canada,127.9,,,,"2908 Yonge St, Toronto, ON M4S, Canada",-79.3968663,43.6978414
"2915 St Clair Ave E , Toronto - Central, Ontario",Esso,122.9,134.9,140.9,119.9,"2915 ST. CLAIR AVE E, TORONTO, ON M4J 3V5, Canada",-79.3003568,43.7079583
"292 Kingston Rd , Toronto - South, Ontario",Petro-Canada,120.9,,,,"292 Kingston Rd, Toronto, ON M4L 1T7, Canada",-79.3077574,43.6743459
"2956 Queen St E , Brampton, Ontario",Ultramar,119.6,132.6,135.6,111.9,"2956 Queen St E, Brampton, ON L6S 5Y1, Canada",-79.6974807,43.7429977
"2963 Queen St E , Brampton, Ontario",Esso,119.6,135.9,141.9,111.9,"2963 Queen St E, Brampton, ON L6T 5J1, Canada",-79.6959814,43.7427128
"2969 Sherwood Heights Dr , Oakville, Ontario",Petro-Canada,122.9,,,,"2969 Sherwood Heights Dr, Oakville, ON L6J 7N4, Canada",-79.6621146,43.5071796
"2980 Argentia Rd , Mississauga, Ontario",Esso,122.9,132.9,138.9,118.9,"2980 Argentia Rd, Mississauga, ON L5N 8C5, Canada",-79.7831514,43.5974137
